Sample,PRJNA Project,Year_Collected,Place/Region,ACE1,AVR-Pi9,AVR-Pia,AVR-Pib,AVR-Pii,AVR-Piks,AVR-Pita1,AVR-Pizt
359TM,-,1994,USA - LA,1,1,0,1,0,0,1,1
360TM,-,1994,USA - LA,0,1,0,1,0,0,0,0
364TM,-,1994,USA - LA,1,1,0,1,0,0,1,1
366TM,-,1994,USA - LA,1,1,0,1,0,1,1,1
367TM,-,1994,USA - LA,1,1,0,1,0,1,1,1
615TM,-,1994,USA - LA,1,1,0,1,0,0,1,1
617TM,-,1994,USA - LA,1,1,0,1,0,0,1,1
619TM,-,1994,USA - LA,1,1,0,1,0,0,1,1
621TM,-,1994,USA - LA,1,1,0,1,0,0,1,1
623TM,-,1994,USA - LA,1,1,0,1,0,0,1,1
626TM,-,1994,USA - LA,1,1,0,1,0,0,1,1
628TM,-,1994,USA - LA,1,1,0,1,0,0,1,1
629TM,-,1994,USA - LA,1,1,0,1,0,0,0,1
b13,-,1994,USA - LA,1,1,0,0,0,0,1,1
278TM,-,1994,USA - MS,1,1,0,1,0,0,1,1
353TM,-,1994,USA - MS,1,1,0,1,0,0,1,0
355TM,-,1994,USA - MS,1,1,0,1,0,0,1,0
357TM,-,1994,USA - MS,1,1,0,1,0,1,1,1
362TM,-,1994,USA - MS,1,1,0,1,0,0,1,1
369TM,-,1994,USA - MS,1,1,0,1,0,1,1,1
370TM,-,1994,USA - MS,1,1,0,1,0,1,1,1
622TM,-,1994,USA - MS,1,1,0,1,0,1,0,1
624TM,-,1994,USA - MS,1,1,0,1,0,0,1,1
b12,-,1994,USA - MS,1,1,0,1,0,0,1,1
324TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
325TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
326TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
328TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
329TM,-,1994,USA - TX,0,1,0,1,0,0,1,0
330TM,-,1994,USA - TX,0,1,0,1,0,0,0,0
331TM,-,1994,USA - TX,1,1,0,1,0,0,1,0
332TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
333TM,-,1994,USA - TX,1,1,0,1,0,0,0,1
334TM,-,1994,USA - TX,0,1,0,1,0,0,1,0
335TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
336TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
337TM,-,1994,USA - TX,1,1,0,1,0,0,1,0
338TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
339TM,-,1994,USA - TX,1,1,0,1,0,0,0,0
340TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
341TM,-,1994,USA - TX,1,1,0,1,0,0,1,0
356TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
361TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
363TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
371TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
372TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
373TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
374TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
375TM,-,1994,USA - TX,1,1,0,1,0,1,1,0
376TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
379TM,-,1994,USA - TX,0,1,0,1,0,0,1,0
380TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
382TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
383TM,-,1994,USA - TX,0,1,0,1,0,0,0,0
384TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
386TM,-,1994,USA - TX,0,1,0,1,0,0,1,0
387TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
388TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
389TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
390TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
397TM,-,1994,USA - TX,0,1,0,1,0,1,1,1
398TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
400TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
401TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
403TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
404TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
405TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
406TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
408TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
409TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
410TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
411TM,-,1994,USA - TX,0,1,0,1,0,0,1,1
414TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
415TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
416TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
418TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
420TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
421TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
425TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
426TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
427TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
428TM,-,1994,USA - TX,1,1,0,1,0,0,1,1
429TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
431TM,-,1994,USA - TX,1,1,0,1,0,1,1,1
