Sample,Decade,State,DAPC Population,ACE1,AVR-Pia,AVR-Pii,AVR-Pita1,AVR-Pizt,AVR-Pi9,AVR-Pib,AVR-Piks,pyrm_37,pyrm_43,pyrm_47,pyrm_63,pyrm_77,pyrm_233,pyrm_409,pyrm_427,pyrm_607,pyrm_657
92T10,1990s,TX,1,1,0,0,1,1,1,1,0,199,-,164,147,197,267,174,200,290,167
92T102_1,1990s,TX,1,1,0,0,1,1,1,1,0,199,-,164,147,197,267,174,200,290,167
92T14,1990s,TX,2,1,0,0,1,1,1,1,1,199,-,186,149,181,261,197,212,284,167
92T40,1990s,TX,2,1,0,0,1,1,1,1,1,199,-,181,149,181,261,197,212,284,167
92T50,1990s,TX,2,1,0,0,1,1,1,1,1,199,-,184,149,181,261,195,214,284,167
92T78,1990s,TX,3,1,0,0,1,1,1,1,1,196,208,176,147,175,269,168,218,282,167
92T81,1990s,TX,1,1,0,0,1,1,1,1,0,199,-,164,147,197,267,174,200,290,167
93A1,1990s,AR,2,1,0,0,1,0,1,1,1,199,-,186,149,181,261,174,200,284,167
93A12,1990s,AR,3,0,0,0,1,0,1,1,0,196,212,174,147,175,269,168,216,282,167
93A15,1990s,AR,3,1,0,0,1,1,0,1,0,196,210,174,147,175,267,168,218,282,169
93A29,1990s,AR,3,1,0,0,1,1,1,1,0,196,208,176,147,175,267,168,218,282,169
93A33,1990s,LA,3,1,0,0,1,1,1,1,0,196,208,180,147,175,269,170,216,282,167
93A34,1990s,LA,3,0,0,0,1,0,1,1,1,196,214,169,147,175,267,168,216,282,169
93L12,1990s,LA,3,1,0,0,1,1,1,1,1,196,208,176,147,175,269,168,216,282,167
93L35,1990s,LA,3,1,0,0,1,1,1,1,0,196,208,178,147,175,269,168,216,282,167
93L8_1,1990s,TX,3,1,0,0,1,1,1,1,0,-,208,174,147,175,269,168,216,282,167
93M17,1990s,MS,1,0,0,0,1,1,1,1,0,199,-,164,147,197,267,177,200,290,167
94A20,1990s,AR,3,1,0,0,1,1,1,1,1,196,210,176,147,175,269,168,216,282,167
94A8_2,1990s,AR,1,1,0,0,1,1,1,1,1,199,-,164,147,197,267,174,200,290,167
94F14,1990s,TX,1,1,0,0,1,1,1,1,0,199,-,164,147,195,267,174,200,290,167
94F20,1990s,TX,1,0,0,0,1,0,1,1,0,199,-,164,147,197,267,174,200,290,167
94L1_2,1990s,LA,3,1,0,0,1,1,1,1,1,196,208,169,147,175,267,168,216,282,169
94L2,1990s,LA,3,1,0,0,1,1,1,1,1,196,196,169,147,175,269,168,216,282,167
94L36_3,1990s,LA,3,1,0,0,1,1,1,1,0,196,208,176,147,175,269,168,218,282,167
